id,"pregunta"
1,"¿Qué alimentos debería evitar si tengo obesidad y presión alta?"
2,"¿Es recomendable saltarse el desayuno para bajar de peso?"
3,"¿Cuánto peso es saludable perder por semana durante un tratamiento para la obesidad?"
4,"¿Qué efectos secundarios pueden tener los medicamentos para bajar de peso?"
5,"¿Cuál es la diferencia entre sobrepeso y obesidad?"
6,"¿Qué beneficios tiene realizar actividad física regularmente si tengo obesidad?"
7,"¿Por qué la obesidad aumenta el riesgo de desarrollar diabetes tipo 2?"
8,"¿Qué alimentos ricos en fibra me ayudan a sentir más saciedad?"
9,"¿Qué significa tener resistencia a la insulina y cómo se relaciona con la obesidad?"
10,"¿Qué recomendaciones existen para controlar el hambre durante un plan de alimentación?"
11,"Llevo un mes siguiendo el tratamiento y solo bajé un kilo. ¿Es normal o significa que no está funcionando?"
12,"Ayer fui a un cumpleaños y comí muchas cosas. ¿Ya eché a perder todo el tratamiento?"
13,"Hace dos semanas que no sigo la dieta ni hago ejercicio. ¿Vale la pena retomar o ya perdí todo el avance?"
14,"Trabajo todo el día sentado y casi no tengo tiempo para hacer ejercicio. ¿Qué cambios pequeños podrían ayudarme?"
15,"En mi casa todos comen pan y comida bien calórica. ¿Cómo puedo seguir el tratamiento sin cocinar algo distinto para mí?"
16,"Este fin de semana tengo un asado con mi familia. ¿Cómo puedo disfrutar sin salir completamente del plan de alimentación?"
17,"Últimamente siento que este tratamiento no es para mí. No veo resultados y estoy pensando en dejarlo."
18,"Estoy muy estresado por el trabajo y cuando llego a la casa termino comiendo mucho. ¿Qué puedo hacer?"
19,"No me siento bien desde ayer. Tengo más hambre de lo normal y estoy un poco mareado. ¿Será por la dieta?"
20,"Mi vecino dice que para bajar de peso lo mejor es hacer un ayuno de dos días seguidos. ¿Es verdad?"
